x_ch,y_ch,Qx,Qy,Qz,Int
47,32,0.4082473109286515,1.4003599599082008,-0.21478866707359484,0
47,33,0.4009653056221727,1.3885706576011216,-0.21478284848952195,0
47,34,0.3937451447066782,1.376744702306496,-0.21477121273985428,0
47,35,0.38658739476644444,1.3648830668671508,-0.21475376266058763,0
47,36,0.3794926069479847,1.3529867324277802,-0.2147305025033159,0
47,37,0.372461316749956,1.3410566880247643,-0.2147014379323551,0
47,38,0.36549404382034156,1.3290939301778053,-0.2146665760209142,0
47,39,0.3585912917681857,1.3170994624751984,-0.21462592524631866,0
47,40,0.35175354798624214,1.3050742951563734,-0.21457949548429214,0
47,41,0.3449812834808985,1.2930194446880705,-0.21452729800230502,0
47,42,0.33827495272029084,1.2809359333350585,-0.21446934545199692,0
47,43,0.33163499348787484,1.2688247887381294,-0.21440565186068508,0
47,44,0.3250618267460017,1.2566870434766315,-0.21433623262196785,0
47,45,0.3185558565240503,1.2445237346391878,-0.21426110448543714,0
47,46,0.31211746979928323,1.232335903382591,-0.21418028554551236,0
47,47,0.3057470364058976,1.220124594504341,-0.21409379522941047,0
47,48,0.29944490894771336,1.2078908559969932,-0.21400165428426796,0
47,49,0.2932114227226852,1.1956357386152376,-0.21390388476343133,0
47,50,0.287046895662876,1.1833602954357048,-0.21380051001193323,0
47,51,0.28095162828443465,1.1710655814204074,-0.2136915546511737,0
47,52,0.2749259036466687,1.1587526529820025,-0.213577044562825,0
47,53,0.268969987331126,1.1464225675454145,-0.2134570068719812,0
47,54,0.26308412741885734,1.1340763831176446,-0.21333146992957305,0
47,55,0.257268554494964,1.121715157853032,-0.21320046329407102,0
47,56,0.2515234816531451,1.1093399496239726,-0.21306401771249822,0
47,57,0.24584910451388753,1.0969518155989135,-0.2129221651007774,0
47,58,0.24024560126175531,1.0845518118148902,-0.2127749385234358,0
47,59,0.2347131326799503,1.0721409927573404,-0.21262237217269286,0
47,60,0.2292518422112484,1.0597204109481027,-0.2124645013469557,0
47,61,0.2238618560171166,1.0472911165325058,-0.21230136242874847,0
47,62,0.21854328305502024,1.0348541568682776,-0.21213299286210163,0
47,63,0.21329621516482478,1.0224105761326427,-0.21195943112942803,0
48,0,0.6706688389170599,1.7522751360511393,-0.22553905077899108,0
48,1,0.6617899158548757,1.742107282689176,-0.22572357613165273,0
48,2,0.6529482455674374,1.7318781383701207,-0.225902580971711,0
48,3,0.6441447248938279,1.721588242998223,-0.22607602441912844,0
48,4,0.6353802460410738,1.711238153231534,-0.22624386669716748,0
48,5,0.6266556961821483,1.7008284423736768,-0.2264060691569358,0
48,6,0.6179719570657984,1.690359700271074,-0.2265625943013867,0
48,7,0.60932990461091,1.6798325331856176,-0.22671340580874547,0
48,8,0.600730408517244,1.6692475636618838,-0.22685846855533506,0
48,9,0.5921743318661687,1.6586054303843412,-0.22699774863777303,0
48,10,0.5836625307295766,1.6479067880136427,-0.22713121339451273,0
48,11,0.5751958537797113,1.6371523070256444,-0.22725883142670322,0
48,12,0.5667751418962657,1.6263426735231405,-0.22738057261834177,0
48,13,0.5584012277880324,1.6154785890512358,-0.22749640815569414,0
48,14,0.5500749356036398,1.6045607703881615,-0.2276063105459588,0
48,15,0.5417970805577501,1.5935899493370016,-0.2277102536351517,0
48,16,0.5335684685508899,1.5825668724928619,-0.2278082126251885,0
48,17,0.5253898958074719,1.5714923010154962,-0.2279001640901437,0
48,18,0.5172621485029016,1.5603670103737386,-0.22798608599166503,0
48,19,0.509186002407056,1.5491917900935732,-0.2280659576935243,0
48,20,0.5011622225286705,1.537967443487105,-0.2281397599752849,0
48,21,0.4931915627651837,1.5266947873742538,-0.2282074750450697,0
48,22,0.4852747655662246,1.515374651797174,-0.22826908655141165,0
48,23,0.47741256158800427,1.5040078797164824,-0.22832457959417257,0
48,24,0.4696056693749928,1.4925953267111254,-0.2283739407345152,0
48,25,0.4618547950297729,1.4811378606518701,-0.228417158003916,0
48,26,0.4541606319056304,1.4696363613838912,-0.22845422091220657,0
48,27,0.4465238602955073,1.4580917203884383,-0.22848512045463362,0
48,28,0.43894514713823485,1.4465048404354093,-0.228509849117927,0
48,29,0.43142514572931434,1.4348766352413804,-0.2285284008853697,0
48,30,0.42396449543624515,1.4232080291003513,-0.228540771240861,0
48,31,0.4165638214356808,1.4114999565226753,-0.22854695717196943,0
48,32,0.4092237344423997,1.3997533618612579,-0.22854695717196943,0
48,33,0.4019448304655602,1.387969198927749,-0.228540771240861,0
48,34,0.3947276905613184,1.3761484306078273,-0.2285284008853697,0
48,35,0.38757288060545436,1.3642920284673892,-0.228509849117927,0
48,36,0.3804809510669078,1.3524009723505515,-0.22848512045463362,0
48,37,0.3734524368004135,1.3404762499822027,-0.22845422091220657,0
48,38,0.36648785684823126,1.328518856550545,-0.228417158003916,0
48,39,0.3595877142436952,1.3165297943005498,-0.2283739407345152,0
48,40,0.3527524958411381,1.304510072109224,-0.22832457959417257,0
48,41,0.34598267214399714,1.2924607050717896,-0.22826908655141165,0
48,42,0.33927869715110903,1.280382714067855,-0.2282074750450697,0
48,43,0.3326410082121005,1.2682771253412284,-0.2281397599752849,0
48,44,0.3260700258955116,1.2561449700633602,-0.2280659576935243,0
48,45,0.3195661538678327,1.2439872839049713,-0.22798608599166503,0
48,46,0.31312977878163695,1.2318051066004045,-0.2279001640901437,0
48,47,0.30676127018554,1.219599481512887,-0.2278082126251885,0
48,48,0.3004609804277938,1.2073714551952435,-0.2277102536351517,0
48,49,0.2942292445935313,1.1951220769578867,-0.2276063105459588,0
